bar_close_et,bar_close_utc,session_date,dir_buy_vol_30s,dir_sell_vol_30s,n_trades_30s,locked_spread_count,day_side_disagree_rate,median_buy_100,median_sell_100,price_at_T,atr_at_T,price_at_T_plus_30s,price_move_30s,p4_threshold,p4_long,p4_short,p2_long,p2_short,delta_ratio_long,delta_ratio_short,p3_long,p3_short,trcb_long,trcb_short,fwd_ret_1min_raw,fwd_ret_1min_signed,fwd_ret_5min_raw,fwd_ret_5min_signed,fwd_ret_15min_raw,fwd_ret_15min_signed,fwd_ret_25min_raw,fwd_ret_25min_signed,hour_only
2026-03-06 11:40:00-05:00,2026-03-06 16:40:00+00:00,2026-03-06,837,1198,808,0,0.0,1007.0,989.0,6769.75,13.353373040402785,6766.75,-3.0,3.338343260100696,False,False,False,True,0.6986644407345576,1.4313022700119475,False,False,False,False,-0.75,,-6.5,,-4.75,,2.0,,11
2026-03-06 11:45:00-05:00,2026-03-06 16:45:00+00:00,2026-03-06,690,544,578,0,0.0,993.0,989.0,6763.25,13.024560680374014,6769.25,6.0,3.2561401700935035,True,False,False,False,1.2683823529411764,0.7884057971014493,False,False,False,False,9.5,,9.0,,5.5,,-4.25,,11
2026-03-06 11:50:00-05:00,2026-03-06 16:50:00+00:00,2026-03-06,640,476,468,0,0.0,993.0,989.0,6772.25,12.9870920603473,6775.25,3.0,3.246773015086825,False,False,False,False,1.3445378151260505,0.74375,False,False,False,False,2.5,,-7.25,,-0.5,,-14.25,,11
2026-03-06 11:55:00-05:00,2026-03-06 16:55:00+00:00,2026-03-06,938,942,724,0,0.0,985.0,987.0,6765.0,13.148728341751063,6766.0,1.0,3.287182085437766,False,False,False,False,0.9957537154989384,1.004264392324094,False,False,False,False,1.0,,3.75,,-6.0,,-1.5,,11
2026-03-06 12:00:00-05:00,2026-03-06 17:00:00+00:00,2026-03-06,976,1076,798,0,0.0,964.5,978.0,6768.75,13.191676317340272,6766.0,-2.75,3.297919079335068,False,False,True,True,0.9070631970260223,1.1024590163934427,False,False,False,False,-2.5,,3.0,,-10.75,,-5.0,,12
2026-03-06 12:05:00-05:00,2026-03-06 17:05:00+00:00,2026-03-06,972,1223,820,0,0.0,961.0,978.0,6771.75,13.177985151815967,6771.0,-0.75,3.294496287953992,False,False,True,True,0.794766966475879,1.258230452674897,False,False,False,False,-3.0,,-12.75,,-8.25,,-14.0,,12
2026-03-06 12:10:00-05:00,2026-03-06 17:10:00+00:00,2026-03-06,697,605,549,0,0.0,974.0,978.0,6759.0,13.450986212400542,6761.75,2.75,3.3627465531001355,False,False,False,False,1.1520661157024794,0.8680057388809183,False,False,False,False,1.5,,-1.0,,4.75,,0.5,,12
2026-03-06 12:15:00-05:00,2026-03-06 17:15:00+00:00,2026-03-06,420,562,418,0,0.0,959.0,959.5,6758.0,12.99020148294336,6758.0,0.0,3.24755037073584,False,False,False,False,0.7473309608540926,1.338095238095238,False,False,False,False,0.25,,5.5,,-0.25,,-9.25,,12
2026-03-06 12:20:00-05:00,2026-03-06 17:20:00+00:00,2026-03-06,609,608,582,0,0.0,942.0,947.5,6763.5,12.848044234161693,6761.5,-2.0,3.212011058540423,False,False,False,False,1.0016447368421053,0.9983579638752053,False,False,False,False,-2.0,,0.25,,-4.0,,-18.5,,12
2026-03-06 12:25:00-05:00,2026-03-06 17:25:00+00:00,2026-03-06,497,744,531,0,0.0,936.0,943.5,6763.75,12.716041074578715,6760.25,-3.5,3.179010268644679,False,True,False,False,0.668010752688172,1.4969818913480886,False,False,False,False,-9.25,,-6.0,,-15.0,,-11.0,,12
2026-03-06 12:30:00-05:00,2026-03-06 17:30:00+00:00,2026-03-06,511,547,466,0,0.0,933.5,937.0,6757.75,12.682752426394522,6757.75,0.0,3.1706881065986305,False,False,False,False,0.9341864716636198,1.0704500978473581,False,False,False,False,0.25,,1.75,,-12.75,,-6.75,,12
2026-03-06 12:35:00-05:00,2026-03-06 17:35:00+00:00,2026-03-06,335,534,363,0,0.0,932.5,931.0,6759.5,12.205412967366343,6758.5,-1.0,3.0513532418415856,False,False,False,False,0.6273408239700374,1.5940298507462687,False,True,False,False,-5.75,,-10.75,,-6.75,,-10.5,,12
2026-03-06 12:40:00-05:00,2026-03-06 17:40:00+00:00,2026-03-06,588,480,451,0,0.0,931.5,931.0,6748.75,12.44074061255446,6747.75,-1.0,3.110185153138615,False,False,False,False,1.225,0.8163265306122449,False,False,False,False,-4.25,,-3.75,,2.25,,6.0,,12
2026-03-06 12:45:00-05:00,2026-03-06 17:45:00+00:00,2026-03-06,908,764,601,0,0.0,929.5,931.0,6745.0,12.337830568800571,6745.5,0.5,3.084457642200143,False,False,False,False,1.1884816753926701,0.8414096916299559,False,False,False,False,2.25,,7.75,,4.0,,16.25,,12
2026-03-06 12:50:00-05:00,2026-03-06 17:50:00+00:00,2026-03-06,940,681,629,0,0.0,924.5,929.5,6752.75,12.099414099600532,6755.0,2.25,3.024853524900133,False,False,True,False,1.380323054331865,0.7244680851063829,False,False,False,False,5.0,,-1.75,,2.0,,23.75,,12
2026-03-06 12:55:00-05:00,2026-03-06 17:55:00+00:00,2026-03-06,277,258,240,0,0.0,924.5,924.0,6751.0,11.913741663914779,6752.0,1.0,2.9784354159786948,False,False,False,False,1.073643410852713,0.9314079422382672,False,False,False,False,-1.75,,-2.0,,10.25,,26.5,,12
2026-03-06 13:00:00-05:00,2026-03-06 18:00:00+00:00,2026-03-06,1062,763,765,0,0.0,924.5,924.0,6749.0,11.705617259349438,6752.0,3.0,2.9264043148373595,True,False,True,False,1.3918741808650066,0.7184557438794726,False,False,False,False,4.25,,5.75,,27.5,,23.0,,13
2026-03-06 13:05:00-05:00,2026-03-06 18:05:00+00:00,2026-03-06,536,440,429,0,0.0,924.5,914.0,6754.75,11.833787455110192,6753.25,-1.5,2.958446863777548,False,False,False,False,1.2181818181818183,0.8208955223880597,False,False,False,False,5.25,,6.5,,22.75,,10.25,,13
2026-03-06 13:10:00-05:00,2026-03-06 18:10:00+00:00,2026-03-06,465,503,465,0,0.0,914.5,906.5,6761.25,11.756374065459465,6761.0,-0.25,2.939093516364866,False,False,False,False,0.9244532803180915,1.081720430107527,False,False,False,False,0.25,,15.25,,10.75,,6.5,,13
2026-03-06 13:15:00-05:00,2026-03-06 18:15:00+00:00,2026-03-06,1131,1322,881,0,0.0,906.5,903.0,6776.5,12.523775917926645,6776.0,-0.5,3.1309439794816614,False,False,True,True,0.8555219364599093,1.1688770999115827,False,False,False,False,2.75,,1.0,,-11.5,,-14.0,,13
2026-03-06 13:20:00-05:00,2026-03-06 18:20:00+00:00,2026-03-06,474,470,403,0,0.0,914.5,906.5,6777.5,12.289934780931885,6777.5,0.0,3.0724836952329713,False,False,False,False,1.0085106382978724,0.9915611814345991,False,False,False,False,-0.75,,-5.5,,-9.75,,-12.25,,13
2026-03-06 13:25:00-05:00,2026-03-06 18:25:00+00:00,2026-03-06,627,876,574,0,0.0,906.5,903.0,6772.0,12.179939439436751,6768.5,-3.5,3.0449848598591878,False,True,False,False,0.7157534246575342,1.3971291866028708,False,False,False,False,-2.5,,-7.0,,-9.5,,-5.5,,13
2026-03-06 13:30:00-05:00,2026-03-06 18:30:00+00:00,2026-03-06,970,1071,842,0,0.0,906.5,903.0,6765.0,12.13137233661984,6766.25,1.25,3.03284308415496,False,False,True,True,0.9056956115779645,1.1041237113402063,False,False,False,False,1.25,,2.75,,0.25,,-7.75,,13
2026-03-06 13:35:00-05:00,2026-03-06 18:35:00+00:00,2026-03-06,422,483,450,0,0.0,914.5,906.5,6767.75,11.871988598289851,6765.5,-2.25,2.967997149572463,False,False,False,False,0.8737060041407867,1.1445497630331753,False,False,False,False,-2.0,,-5.25,,-1.25,,-8.0,,13
2026-03-06 13:40:00-05:00,2026-03-06 18:40:00+00:00,2026-03-06,514,546,474,0,0.0,906.5,906.5,6762.5,11.738275126983433,6763.0,0.5,2.9345687817458583,False,False,False,False,0.9413919413919414,1.0622568093385214,False,False,False,False,0.25,,2.75,,-5.25,,-5.25,,13
2026-03-06 13:45:00-05:00,2026-03-06 18:45:00+00:00,2026-03-06,327,337,324,0,0.0,906.5,906.5,6765.25,11.381969760770332,6763.75,-1.5,2.845492440192583,False,False,False,False,0.9703264094955489,1.0305810397553516,False,False,False,False,-0.75,,1.25,,-5.5,,-1.25,,13
