timestamp,open,high,low,close,price_levels,absorption
1773156937,25121.0,25121.25,25121.0,25121.25,"{""25121.0"": [3, 0], ""25121.25"": [0, 1]}",-0.25
1773156938,25121.0,25121.0,25120.5,25120.5,"{""25121.0"": [1, 0], ""25120.5"": [1, 0]}",-3.0
1773156939,25120.75,25121.0,25119.75,25120.75,"{""25120.75"": [2, 2], ""25120.0"": [1, 2], ""25119.75"": [1, 0], ""25120.25"": [1, 0], ""25120.5"": [2, 0], ""25121.0"": [1, 0]}",-0.1111111111111111
1773156940,25121.25,25121.75,25121.25,25121.25,"{""25121.25"": [0, 2], ""25121.75"": [0, 1]}",1.0
1773156941,25121.75,25122.0,25121.75,25122.0,"{""25121.75"": [1, 0], ""25122.0"": [3, 0]}",-1.0
1773156942,25121.5,25122.5,25121.25,25121.25,"{""25121.5"": [0, 1], ""25122.0"": [1, 1], ""25122.25"": [2, 0], ""25122.5"": [2, 0], ""25121.25"": [2, 0]}",-0.8641975308641976
1773156943,25121.5,25123.25,25121.5,25123.25,"{""25121.5"": [1, 0], ""25121.75"": [0, 1], ""25122.5"": [0, 2], ""25122.25"": [0, 3], ""25123.25"": [1, 0]}",3.75
1773156944,25124.75,25126.75,25123.75,25123.75,"{""25124.75"": [2, 2], ""25125.0"": [2, 0], ""25125.25"": [5, 4], ""25125.75"": [4, 0], ""25126.0"": [4, 0], ""25126.25"": [1, 0], ""25126.5"": [2, 0], ""25126.75"": [3, 0], ""25125.5"": [0, 4], ""25124.5"": [0, 2], ""25124.25"": [0, 1], ""25123.75"": [0, 1]}",-1.0321402483564646
1773156945,25124.5,25125.75,25124.25,25124.25,"{""25124.5"": [0, 1], ""25125.0"": [1, 4], ""25125.5"": [4, 0], ""25125.25"": [1, 6], ""25125.75"": [1, 0], ""25124.25"": [0, 1]}",0.06925207756232686
1773156946,25123.75,25123.75,25122.5,25122.75,"{""25123.75"": [0, 2], ""25123.0"": [0, 1], ""25122.5"": [0, 1], ""25122.75"": [1, 0]}",0.36
1773156947,25122.75,25123.25,25122.5,25122.5,"{""25122.75"": [0, 1], ""25123.25"": [2, 0], ""25122.5"": [0, 1]}",-0.0
1773156948,25123.25,25123.25,25122.5,25122.5,"{""25123.25"": [2, 0], ""25123.0"": [1, 0], ""25122.75"": [1, 1], ""25122.5"": [0, 1]}",-1.1111111111111112
1773156949,25123.5,25123.5,25123.5,25123.5,"{""25123.5"": [2, 0]}",-1.0
1773156950,25123.75,25126.5,25123.75,25125.25,"{""25123.75"": [1, 0], ""25124.5"": [1, 1], ""25124.75"": [0, 2], ""25126.25"": [1, 2], ""25126.5"": [4, 1], ""25126.0"": [1, 1], ""25125.75"": [2, 2], ""25125.25"": [0, 1]}",-0.0
1773156951,25124.25,25125.0,25123.25,25125.0,"{""25124.25"": [3, 5], ""25124.0"": [0, 3], ""25123.75"": [1, 1], ""25123.25"": [0, 1], ""25124.75"": [1, 0], ""25125.0"": [1, 0]}",0.8125
1773156952,25123.75,25124.5,25123.5,25124.5,"{""25123.75"": [1, 2], ""25123.5"": [0, 3], ""25124.5"": [1, 0]}",1.4693877551020407
1773156953,25124.75,25126.75,25124.75,25126.25,"{""25124.75"": [2, 0], ""25125.75"": [0, 1], ""25125.5"": [0, 3], ""25126.5"": [3, 0], ""25126.75"": [1, 0], ""25126.25"": [1, 2]}",-0.00591715976331361
1773156954,25126.5,25131.5,25126.5,25130.75,"{""25126.5"": [1, 0], ""25126.75"": [1, 0], ""25127.0"": [2, 0], ""25127.25"": [1, 0], ""25127.5"": [2, 0], ""25127.75"": [6, 0], ""25128.25"": [1, 5], ""25128.5"": [4, 0], ""25128.75"": [1, 1], ""25129.0"": [6, 1], ""25129.25"": [3, 1], ""25129.5"": [2, 0], ""25129.75"": [3, 2], ""25130.0"": [18, 3], ""25128.0"": [3, 2], ""25130.25"": [1, 2], ""25130.5"": [2, 1], ""25130.75"": [4, 1], ""25131.0"": [1, 1], ""25131.25"": [3, 0], ""25131.5"": [2, 0]}",-0.2918483287092086
1773156955,25130.75,25131.0,25129.0,25129.5,"{""25130.75"": [3, 0], ""25131.0"": [3, 0], ""25130.5"": [0, 1], ""25130.0"": [0, 2], ""25129.75"": [3, 1], ""25129.0"": [0, 1], ""25130.25"": [1, 0], ""25129.5"": [0, 1]}",-1.3125
1773156956,25130.75,25130.75,25130.0,25130.0,"{""25130.75"": [1, 0], ""25130.25"": [0, 2], ""25130.5"": [0, 1], ""25130.0"": [0, 1]}",0.36
1773156957,25130.0,25130.25,25129.25,25129.25,"{""25130.0"": [2, 0], ""25129.75"": [2, 0], ""25130.25"": [2, 0], ""25129.25"": [0, 1]}",-2.653061224489796
1773156958,25130.25,25130.5,25129.0,25130.5,"{""25130.25"": [3, 3], ""25129.5"": [0, 1], ""25129.25"": [0, 1], ""25129.0"": [0, 3], ""25130.5"": [1, 0]}",0.4444444444444444
1773156959,25130.25,25130.25,25128.75,25128.75,"{""25130.25"": [1, 0], ""25129.75"": [1, 0], ""25129.25"": [0, 1], ""25129.5"": [1, 0], ""25128.75"": [1, 3]}",-0.0
1773156960,25128.0,25130.0,25128.0,25128.75,"{""25128.0"": [0, 1], ""25129.75"": [2, 0], ""25129.25"": [1, 2], ""25128.75"": [1, 3], ""25129.0"": [4, 0], ""25129.5"": [1, 0], ""25130.0"": [1, 0]}",-0.0625
1773156961,25128.75,25129.0,25128.75,25128.75,"{""25128.75"": [0, 2], ""25129.0"": [0, 1]}",1.0
1773156962,25128.5,25129.5,25128.5,25129.25,"{""25128.5"": [1, 0], ""25128.75"": [2, 0], ""25129.5"": [1, 0], ""25129.25"": [0, 1]}",-0.36
1773156963,25129.75,25129.75,25128.75,25129.5,"{""25129.75"": [1, 0], ""25129.25"": [1, 3], ""25129.0"": [0, 2], ""25128.75"": [1, 0], ""25129.5"": [2, 0]}",-0.0
1773156964,25128.0,25128.25,25126.75,25127.5,"{""25128.0"": [1, 2], ""25128.25"": [1, 1], ""25127.75"": [0, 1], ""25127.5"": [2, 1], ""25127.0"": [0, 1], ""25126.75"": [0, 3]}",0.14792899408284024
1773156965,25127.75,25128.5,25127.5,25128.5,"{""25127.75"": [0, 3], ""25127.5"": [0, 2], ""25128.0"": [1, 0], ""25128.5"": [0, 1]}",2.653061224489796
