session_date,open_px,midday_px,afternoon_px,last_hr_start_px,last_hr_end_px,ctrl_exit_px,morning_ret,midday_ret,last_hour_ret,full_session_ret,am_total_ret
2025-11-06,6812.25,6741.0,6781.25,6777.5,6750.5,6751.25,-0.010514180196993782,0.005953168869431205,-0.003991726175519811,-0.009105885853131842,-0.004561011327562562
2025-11-07,6723.5,6664.0,6709.75,6742.5,6753.75,6741.75,-0.00888894741724604,0.006841787600815746,0.0016671301443904028,0.004489053894350969,-0.002047159816430167
2025-11-10,6815.75,6809.0,6851.0,6856.5,6858.5,6862.75,-0.0009908439497600646,0.006149360519932518,0.00029165147855301224,0.006252648485735002,0.005158516570172358
2025-11-11,6842.5,6840.5,6875.25,6875.0,6873.75,6873.75,-0.0002923335546653529,0.005067178149825979,-0.0001818347127475711,0.004556646907190391,0.004774844595160485
2025-11-12,6891.25,6860.75,6869.75,6869.75,6877.75,6879.0,-0.004435725713926664,0.0013109502624001166,0.0011638481037320226,-0.001960927347794376,-0.003124775451526428
2025-11-13,6847.25,6792.25,6775.75,6757.5,6761.75,6752.0,-0.008064855472466938,-0.0024321945952106255,0.0006287331235097691,-0.01256537952156258,-0.010497050067677535
2025-11-14,6692.0,6785.0,6779.25,6785.25,6757.0,6755.0,0.013801510162254841,-0.0008478169223395593,-0.004172134021786116,0.009666221445459961,0.012953693239915427
2025-11-17,6734.25,6767.5,6694.75,6662.25,6693.5,6687.75,0.004925297419428504,-0.010808105359864218,0.004679640908032475,-0.006069538843075266,-0.00588280794043569
2025-11-18,6656.75,6647.5,6665.5,6680.25,6637.0,6646.5,-0.0013905333243843718,0.0027041254365568193,-0.006495357834163642,-0.0029713232956341995,0.0013135921121723631
2025-11-19,6642.5,6659.5,6632.5,6646.25,6662.0,6667.0,0.0025560080071166643,-0.00406259962919054,0.0023669539350767107,0.002931341119656443,-0.0015065916220738608
2025-11-20,6765.0,6631.75,6603.25,6614.75,6558.0,6561.75,-0.019893540519570624,-0.004306769029407276,-0.008616325535357312,-0.03107658320029489,-0.024200309548977953
2025-11-21,6581.5,6639.75,6674.25,6648.75,6623.25,6622.5,0.008811629293805844,0.005182526245813239,-0.003842681039506099,0.006323503151558869,0.013994155539618984
2025-11-24,6657.75,6706.25,6721.0,6715.25,6717.25,6729.75,0.0072583377624702,0.00219702559095725,0.0002977852246087779,0.008897254954292208,0.009455363353427471
2025-11-25,6716.5,6748.0,6763.75,6770.25,6779.75,6787.75,0.004678979162790971,0.002331305291086095,0.0014022142518935058,0.009373042595199515,0.007010284453877053
2025-11-26,6805.0,6843.5,6841.5,6838.0,6826.75,6833.0,0.005641660565754473,-0.00029229083145614873,-0.0016465727571673896,0.0031910823565128436,0.00534936973429835
2025-11-27,6829.25,6827.0,6828.0,6828.0,6828.0,6828.0,-0.0003295194537826373,0.0001464664960510007,0.0,-0.00018305295773169455,-0.00018305295773169455
2025-11-28,6834.25,6854.0,6857.25,6857.25,6857.25,6857.25,0.0028856886315168557,0.0004740632780915637,0.0,0.0033597519096082826,0.0033597519096082826
2025-12-01,6813.5,6845.0,6830.5,6826.75,6828.5,6824.5,0.0046125205326737724,-0.0021205813950073726,0.0002563116763999236,0.0021990919286036894,0.0024919391376663587
2025-12-02,6844.25,6830.75,6838.5,6849.5,6838.0,6842.5,-0.001974406491490413,0.0011339321221594857,-0.0016803656921976584,-0.0009135924916902269,-0.0008404743693310045
2025-12-03,6829.25,6845.75,6867.5,6870.5,6862.5,6860.0,0.0024131638767267796,0.0031721172206392494,-0.0011650769540429474,0.004856948945723139,0.005585281097366076
2025-12-04,6876.25,6866.75,6845.0,6854.75,6868.5,6861.75,-0.0013825222314147341,-0.0031724642357038825,0.0020038991640057356,-0.0011277034244079954,-0.004554986467118531
2025-12-05,6875.25,6879.75,6880.5,6883.0,6877.0,6873.0,0.0006543075478800314,0.00010900964746163433,-0.0008720930785281024,0.00025450380984140433,0.0007633171953415979
2025-12-08,6885.75,6853.0,6841.75,6843.75,6857.0,6845.5,-0.0047675461060953375,-0.001642965739517415,0.0019342012854531047,-0.004184030407554684,-0.00641051184561279
2025-12-09,6850.5,6869.0,6856.0,6855.0,6849.0,6847.75,0.002696892920718244,-0.001894353936265932,-0.0008756567985095106,-0.00021898609525811184,0.0008025389844523473
2025-12-10,6843.5,6853.5,6860.0,6898.5,6892.75,6898.5,0.0014601740201148881,0.000947971048495114,-0.0008338620985301326,0.007170837898237098,0.0024081450686099966
2025-12-11,6868.0,6870.75,6903.5,6905.5,6908.25,6903.5,0.0004003275460616453,0.004755258792779332,0.00039815401847122353,0.00584340651908858,0.005155586338841001
2025-12-12,6896.25,6817.75,6828.5,6833.5,6830.5,6829.5,-0.011448280205537106,0.0015755247373759021,-0.00043911007731332186,-0.009579908259098683,-0.009872755468161276
2025-12-15,6871.0,6821.75,6821.75,6830.0,6821.25,6822.0,-0.007193618868796803,0.0,-0.0012819340643940849,-0.007266916530634273,-0.007193618868796803
2025-12-16,6805.25,6794.75,6782.75,6791.5,6799.5,6811.5,-0.0015441179538621182,-0.0017676307309178493,0.001177249786468119,-0.0008452930546132322,-0.003311748684779929
2025-12-17,6810.0,6754.0,6736.0,6743.0,6725.75,6728.0,-0.008257198198045086,-0.002668645023350333,-0.002561486319330527,-0.01244867672830657,-0.010925843221395391
2025-12-18,6787.25,6806.5,6782.25,6768.75,6775.25,6783.5,0.0028321858011897986,-0.003569132663828562,0.0009598346868027998,-0.0017695857152344229,-0.0007369468626386604
2025-12-22,6921.75,6932.25,6929.75,6930.25,6930.0,6930.25,0.0015158079992009914,-0.00036069831584251567,-3.60743853865204e-05,0.001191185370153232,0.0011551096833584088
2025-12-23,6919.25,6950.5,6960.5,6960.0,6960.5,6961.0,0.004506217182021625,0.001437711411474644,7.183650015654878e-05,0.0059439285934964016,0.0059439285934964016
2025-12-24,6959.0,6984.25,6980.0,6980.0,6980.0,6980.0,0.0036218281393066024,-0.0006086972277383975,0.0,0.003013130911568183,0.003013130911568183
2025-12-26,6983.5,6976.75,6977.25,6977.75,6979.5,6977.25,-0.0009670314680642173,7.166403901587854e-05,0.00025076573238565496,-0.000572942793013107,-0.0008953674290483676
2025-12-29,6951.25,6946.5,6950.5,6958.75,6955.5,6954.25,-0.0006835639128573782,0.0005756638282308853,-0.00046714699809230974,0.0006112139978514753,-0.00010790008462644433
2025-12-30,6949.75,6947.25,6953.25,6949.75,6944.75,6948.0,-0.0003597898865897337,0.0008632783529549992,-0.000719709268534365,-0.000719709268534365,0.0005034884663652767
2025-12-31,6945.25,6926.0,6923.0,6913.5,6893.25,6897.25,-0.0027755266984264525,-0.00043324428434190403,-0.002933349922344118,-0.007515300754465154,-0.003208770982768331
2026-01-02,6927.75,6880.5,6898.25,6900.25,6901.25,6893.75,-0.006843761435492776,0.0025764325238085656,0.0001449117852044568,-0.0038325305425747336,-0.004267328911684137
2026-01-05,6934.25,6958.0,6950.5,6944.25,6946.25,6941.25,0.003419175891301429,-0.0010784772947400546,0.00028796659786484125,0.0017290447735449084,0.0023406985965613554
2026-01-06,6946.75,6961.75,6987.5,6986.75,6986.75,6990.25,0.002156955216676051,0.003691958958210074,0.0,0.005741573888184373,0.005848914174886069
2026-01-07,6989.0,7001.75,6983.75,6984.5,6962.0,6964.25,0.0018226333155287155,-0.0025740960192992004,-0.0032266187962213333,-0.0038706951057448174,-0.0007514627037705102
2026-01-08,6953.75,6965.25,6955.5,6954.75,6961.25,6963.0,0.0016524179347245352,-0.001400786824602211,0.0009341765554332519,0.001077973514375478,0.00025163111012216696
2026-01-09,6970.25,7004.0,7013.0,7013.0,7005.25,7008.0,0.004830322288675566,0.0012841551311680091,-0.001105701608914143,0.005008775810929481,0.006114477419843515
2026-01-12,6969.5,7009.5,7017.0,7023.75,7015.75,7019.0,0.005722885638649484,0.001069404443698059,-0.001139641848478281,0.006614135407988478,0.006792290082347622
2026-01-13,7018.5,7012.5,6992.75,6992.25,7002.5,6999.0,-0.000855249143428956,-0.0028203728018827185,0.001464835289350925,-0.0022822918401170446,-0.0036756219453116874
2026-01-14,6972.25,6927.75,6943.75,6943.0,6967.5,6960.5,-0.006402899572790482,0.0023068892471110685,0.0035225226028299463,-0.0006815043575162699,-0.004096010325679493
