,instrument_id,ts_event,rtype,publisher_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol_x,expiration,strike_price,contract_multiplier,symbol_y,underlying_id,cfi,underlying_price,open_interest,mid_price,T,option_type,implied_vol,gamma,delta
32,42430465,2026-02-27 14:14:59.488286327+00:00,1,1,M,B,0,229.5,4,128,11524,1297847827,230.0,231.5,10,35,3,6,42430465,2026-03-20 13:30:00+00:00,6700.0,50,ESH6 C6700,42140878,OCAFPS,6862.375,225,230.75,0.05560562323091743,call,0.21127928709382449,0.001024772558457817,0.6919880032016844
33,42431181,2026-02-27 14:14:59.657049487+00:00,1,1,M,A,0,50.75,1,128,15711,1297849662,50.25,50.75,71,1,6,1,42431181,2026-03-20 13:30:00+00:00,6600.0,50,ESH6 P6600,42140878,OPAFPS,6862.375,33,50.5,0.05560562323091743,put,0.2302089435988936,0.0008095609910991993,-0.22758418268439623
34,42431193,2026-02-27 14:14:52.782947471+00:00,1,1,M,N,0,681.5,10,128,15266,1297810068,674.0,681.5,10,10,1,1,42431193,2026-03-20 13:30:00+00:00,6200.0,50,ESH6 C6200,42140878,OCAFPS,6862.375,672,677.75,0.05560562323091743,call,0.30500355464627776,0.0002830395422253166,0.9241851092558007
35,42431937,2026-02-27 14:14:53.075137525+00:00,1,1,A,A,0,0.9,25,128,14530,1297814600,0.65,0.9,464,671,8,10,42431937,2026-03-20 13:30:00+00:00,7300.0,50,ESH6 C7300,42140878,OCAFPS,6862.375,1,0.775,0.05560562323091743,call,0.11561602960813845,0.00016781252571973235,0.012075775390789021
36,42431945,2026-02-27 14:14:59.774502469+00:00,1,1,M,B,0,92.5,3,128,14155,1297850335,92.5,93.25,38,12,5,4,42431945,2026-03-20 13:30:00+00:00,6800.0,50,ESH6 P6800,42140878,OPAFPS,6862.375,65,92.875,0.05560562323091743,put,0.18942259597242056,0.0012658601009338873,-0.40946380249602765
37,42431946,2026-02-27 14:14:59.644957213+00:00,1,1,M,A,0,128.0,1,128,11382,1297849430,126.5,127.5,34,1,6,1,42431946,2026-03-20 13:30:00+00:00,6900.0,50,ESH6 P6900,42140878,OPAFPS,6862.375,93,127.0,0.05560562323091743,put,0.16592346705041533,0.001472103478306194,-0.5467058962857273
38,42431947,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,250.0,1,128,14895,1297846249,248.0,250.5,5,5,1,1,42431947,2026-03-20 13:30:00+00:00,7100.0,50,ESH6 P7100,42140878,OPAFPS,6862.375,202,249.25,0.05560562323091743,put,0.12346385842272262,0.0010231031704800327,-0.8740907203043021
39,42433544,2026-02-27 14:14:59.446632525+00:00,1,1,M,A,0,271.5,6,128,14376,1297846858,270.0,271.5,22,6,2,1,42433544,2026-03-20 13:30:00+00:00,6650.0,50,ESH6 C6650,42140878,OCAFPS,6862.375,265,270.75,0.05560562323091743,call,0.2207629230017796,0.0009138928746621998,0.7341115795127119
40,42435427,2026-02-27 14:14:59.749595671+00:00,1,1,M,A,0,80.25,20,128,19959,1297850288,79.25,80.25,77,103,8,10,42435427,2026-03-20 13:30:00+00:00,6750.0,50,ESH6 P6750,42140878,OPAFPS,6862.375,55,79.75,0.05560562323091743,put,0.20048231360713145,0.0011447558898608108,-0.3538860269445799
41,42441335,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,604.5,1,128,14963,1297846250,570.5,605.0,120,120,1,1,42441335,2026-03-20 13:30:00+00:00,7450.0,50,ESH6 P7450,42140878,OPAFPS,6862.375,540,587.75,0.05560562323091743,put,0.15888233059414128,0.00014568296850736524,-0.9831306237924373
42,42474858,2026-02-27 14:14:59.667294085+00:00,1,1,M,B,0,191.0,3,128,14126,1297849735,191.0,192.5,53,35,8,7,42474858,2026-03-20 13:30:00+00:00,6750.0,50,ESH6 C6750,42140878,OCAFPS,6862.375,187,191.75,0.05560562323091743,call,0.2002426249999719,0.0011459594878745274,0.6442034320263718
43,42483101,2026-02-27 14:14:59.710816411+00:00,1,1,M,A,0,62.5,1,128,11412,1297850186,61.75,62.5,65,2,8,2,42483101,2026-03-20 13:30:00+00:00,6950.0,50,ESH6 C6950,42140878,OCAFPS,6862.375,60,62.125,0.05560562323091743,call,0.1539570772596916,0.0015126673391318139,0.3694332856360012
44,42483456,2026-02-27 14:14:59.889417261+00:00,1,1,M,A,0,23.25,9,128,14759,1297850520,22.75,23.25,91,74,7,6,42483456,2026-03-20 13:30:00+00:00,7050.0,50,ESH6 C7050,42140878,OCAFPS,6862.375,22,23.0,0.05560562323091743,call,0.13186959515503,0.0012979210734147331,0.1967305764004176
